Name,wRCplus2022,wRCplus2021,wRCplusdiff
A.J. Pollock,92,137,-45
Aaron Judge,207,149,58
Abraham Toro,62,94,-32
Adam Duvall,87,103,-16
Adam Frazier,81,113,-32
Adolis Garcia,112,99,13
Alec Bohm,98,75,23
Aledmys Diaz,96,97,-1
Alex Bregman,136,114,22
Alex Verdugo,103,107,-4
Amed Rosario,103,99,4
Andrew Benintendi,122,105,17
Andrew McCutchen,98,108,-10
Andrew Vaughn,113,93,20
Anthony Rizzo,132,113,19
Anthony Santander,120,92,28
Austin Hays,105,106,-1
Austin Hedges,42,40,2
Austin Riley,142,136,6
Austin Slater,124,101,23
Avisail Garcia,66,116,-50
Ben Gamel,97,100,-3
Bo Bichette,129,122,7
Bobby Dalbec,80,106,-26
Brandon Crawford,87,138,-51
Brandon Nimmo,134,137,-3
Brendan Rodgers,92,99,-7
Bryan Reynolds,125,141,-16
Bryce Harper,138,170,-32
C.J. Cron,101,126,-25
Carlos Correa,140,133,7
Carlos Santana,102,82,20
Carson Kelly,73,103,-30
Cedric Mullins II,106,136,-30
Cesar Hernandez,79,90,-11
Charlie Blackmon,89,93,-4
Chas McCormick,114,108,6
Chris Taylor,93,113,-20
Christian Vazquez,99,76,23
Christian Walker,122,87,35
Christian Yelich,111,102,9
Cody Bellinger,83,47,36
Corey Seager,117,146,-29
Dansby Swanson,116,99,17
Darin Ruf,89,143,-54
Daulton Varsho,106,99,7
David Peralta,104,94,10
DJ LeMahieu,116,100,16
Donovan Solano,98,104,-6
Dylan Carlson,100,113,-13
Eduardo Escobar,106,107,-1
Elias Diaz,67,91,-24
Elvis Andrus,105,74,31
Enrique Hernandez,75,109,-34
Eric Haase,112,101,11
Eric Hosmer,104,103,1
Eugenio Suarez,131,84,47
Francisco Lindor,127,103,24
Franmil Reyes,80,126,-46
Freddie Freeman,157,135,22
Gary Sanchez,89,100,-11
Gavin Lux,113,90,23
George Springer,132,140,-8
Giancarlo Stanton,115,137,-22
Gio Urshela,119,96,23
Gleyber Torres,115,94,21
Harold Castro,94,84,10
Harold Ramirez,119,90,29
Harrison Bader,86,110,-24
Hunter Dozier,90,81,9
Hunter Renfroe,124,113,11
Ian Happ,120,105,15
Isiah Kiner-Falefa,85,84,1
J.D. Martinez,119,127,-8
J.P. Crawford,104,103,1
J.T. Realmuto,128,108,20
Jace Peterson,96,98,-2
Jackie Bradley Jr.,56,37,19
Jacob Stallings,71,94,-23
Jake Cronenworth,109,116,-7
Jared Walsh,78,126,-48
Javier Baez,90,117,-27
Jean Segura,105,109,-4
Jeff McNeil,143,92,51
Jeimer Candelario,80,120,-40
Jesse Winker,108,147,-39
Jesus Aguilar,86,111,-25
Ji-Man Choi,116,117,-1
Joc Pederson,144,96,48
Joey Gallo,85,122,-37
Joey Votto,92,139,-47
Joey Wendle,87,105,-18
Jonathan India,95,120,-25
Jonathan Schoop,57,107,-50
Jorge Polanco,119,124,-5
Jorge Soler,98,100,-2
Jose Abreu,137,125,12
Jose Altuve,164,128,36
Jose Iglesias,85,90,-5
Jose Ramirez,139,138,1
Jose Trevino,91,63,28
Josh Bell,123,119,4
Josh Donaldson,97,126,-29
Josh Harrison,98,104,-6
Josh Rojas,108,102,6
Juan Soto,145,163,-18
Jurickson Profar,110,86,24
Justin Turner,123,126,-3
Ke'Bryan Hayes,88,87,1
Ketel Marte,102,140,-38
Kevin Newman,94,53,41
Kolten Wong,117,110,7
Kyle Farmer,92,90,2
Kyle Schwarber,128,145,-17
Kyle Tucker,129,145,-16
Leury Garcia,39,97,-58
Lourdes Gurriel Jr.,114,107,7
Luis Arraez,131,105,26
Luis Urias,110,112,-2
Maikel Franco,64,62,2
Manny Machado,152,122,30
Manuel Margot,106,95,11
Marcus Semien,107,131,-24
Mark Canha,128,117,11
Martin Maldonado,70,61,9
Matt Chapman,117,102,15
Matt Olson,120,147,-27
Max Kepler,95,97,-2
Max Muncy,106,139,-33
Max Stassi,63,105,-42
Michael A. Taylor,90,76,14
Miguel Cabrera,79,94,-15
Miguel Rojas,73,96,-23
Mike Yastrzemski,99,105,-6
Mookie Betts,144,130,14
Myles Straw,64,97,-33
Nathaniel Lowe,143,114,29
Nelson Cruz,85,123,-38
Nick Castellanos,94,139,-45
Nicky Lopez,57,105,-48
Nolan Arenado,151,113,38
Patrick Wisdom,104,117,-13
Paul Goldschmidt,177,137,40
Pete Alonso,143,133,10
Rafael Devers,140,133,7
Rafael Ortega,96,122,-26
Raimel Tapia,90,75,15
Ramon Laureano,96,113,-17
Randal Grichuk,88,85,3
Randy Arozarena,125,128,-3
Rhys Hoskins,122,127,-5
Robbie Grossman,82,116,-34
Ronald Acuna Jr.,114,157,-43
Rougned Odor,80,83,-3
Rowdy Tellez,110,89,21
Ryan McMahon,95,94,1
Ryan Mountcastle,106,111,-5
Salvador Perez,108,126,-18
Sean Murphy,122,100,22
Seth Brown,117,104,13
Shohei Ohtani,142,151,-9
Starling Marte,136,134,2
Teoscar Hernandez,129,132,-3
Tim Anderson,110,119,-9
Tommy Edman,108,90,18
Tommy Pham,89,102,-13
Tony Kemp,91,129,-38
Trea Turner,128,142,-14
Trent Grisham,83,103,-20
Trevor Story,100,98,2
Trey Mancini,104,105,-1
Tucker Barnhart,63,80,-17
Ty France,126,130,-4
Tyler Naquin,93,109,-16
Tyler O'Neill,101,144,-43
Victor Caratini,84,73,11
Victor Robles,64,68,-4
Vladimir Guerrero Jr.,132,166,-34
Wander Franco,116,126,-10
Whit Merrifield,88,90,-2
Will Smith,127,130,-3
Willi Castro,86,71,15
Willson Contreras,132,111,21
Willy Adames,109,120,-11
Wilmer Flores,103,112,-9
Xander Bogaerts,134,130,4
Yandy Diaz,146,111,35
Yasmani Grandal,68,158,-90
Yoan Moncada,76,120,-44
Yonathan Daza,93,74,19
Yordan Alvarez,185,137,48
Yuli Gurriel,85,132,-47